game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22100414,7,2pt,1,PT11M48.00S,11:48,Q1 11:48,0,0,1610612744.0,Green,MISS D. Green driving Layup,,rebound,0,Low
22100414,8,rebound,1,PT11M46.00S,11:46,Q1 11:46,0,0,1610612752.0,Noel,N. Noel REBOUND (Off:0 Def:1),2pt missed,2pt made,0,Low
22100414,9,2pt,1,PT11M37.00S,11:37,Q1 11:37,2,0,1610612752.0,Noel,N. Noel 14' Jump Shot (2 PTS) (J. Randle 1 AST),rebound,2pt missed,2,Low
22100414,11,2pt,1,PT11M18.00S,11:18,Q1 11:18,2,0,1610612744.0,Wiggins,MISS A. Wiggins driving Hook - blocked,2pt made,block,2,Low
22100414,12,block,1,PT11M18.00S,11:18,Q1 11:18,2,0,1610612752.0,Fournier,E. Fournier BLOCK (1 BLK),2pt missed,rebound,2,Low
22100414,13,rebound,1,PT11M16.00S,11:16,Q1 11:16,2,0,1610612744.0,Wiggins,A. Wiggins REBOUND (Off:1 Def:0),block,2pt made,2,Low
22100414,14,2pt,1,PT11M16.00S,11:16,Q1 11:16,2,2,1610612744.0,Wiggins,A. Wiggins bank Jump Shot (2 PTS),rebound,3pt missed,0,Low
22100414,15,3pt,1,PT11M05.00S,11:05,Q1 11:05,2,2,1610612752.0,Randle,MISS J. Randle 26' 3PT,2pt made,rebound,0,Low
22100414,16,rebound,1,PT11M03.00S,11:03,Q1 11:03,2,2,1610612744.0,Green,D. Green REBOUND (Off:0 Def:1),3pt missed,3pt made,0,Low
22100414,17,3pt,1,PT10M56.00S,10:56,Q1 10:56,2,5,1610612744.0,Curry,S. Curry 29' 3PT pullup (3 PTS),rebound,3pt missed,3,Low
22100414,18,3pt,1,PT10M30.00S,10:30,Q1 10:30,2,5,1610612752.0,Randle,MISS J. Randle 24' 3PT,3pt made,rebound,3,Low
22100414,19,rebound,1,PT10M28.00S,10:28,Q1 10:28,2,5,1610612744.0,Green,D. Green REBOUND (Off:0 Def:2),3pt missed,3pt missed,3,Low
22100414,20,3pt,1,PT10M21.00S,10:21,Q1 10:21,2,5,1610612744.0,Curry,MISS S. Curry 27' pullup 3PT,rebound,rebound,3,Low
22100414,21,rebound,1,PT10M19.00S,10:19,Q1 10:19,2,5,1610612752.0,Noel,N. Noel REBOUND (Off:0 Def:2),3pt missed,2pt made,3,Low
22100414,22,2pt,1,PT10M12.00S,10:12,Q1 10:12,4,5,1610612752.0,Rose,D. Rose driving Layup (2 PTS),rebound,foul,1,Low
22100414,23,foul,1,PT09M56.00S,09:56,Q1 09:56,4,5,1610612752.0,Rose,D. Rose shooting personal FOUL (1 PF) (Wiggins 2 FT),2pt made,freethrow,1,Low
22100414,25,freethrow,1,PT09M56.00S,09:56,Q1 09:56,4,6,1610612744.0,Wiggins,A. Wiggins Free Throw 1 of 2 (3 PTS),foul,freethrow,2,Low
22100414,26,freethrow,1,PT09M56.00S,09:56,Q1 09:56,4,6,1610612744.0,Wiggins,MISS A. Wiggins Free Throw 2 of 2,freethrow,rebound,2,Low
22100414,27,rebound,1,PT09M54.00S,09:54,Q1 09:54,4,6,1610612744.0,Looney,K. Looney REBOUND (Off:1 Def:0),freethrow,3pt missed,2,Low
22100414,28,3pt,1,PT09M46.00S,09:46,Q1 09:46,4,6,1610612744.0,Poole,MISS J. Poole 25' pullup 3PT,rebound,rebound,2,Low
22100414,29,rebound,1,PT09M44.00S,09:44,Q1 09:44,4,6,1610612752.0,Noel,N. Noel REBOUND (Off:0 Def:3),3pt missed,foul,2,Low
22100414,30,foul,1,PT09M36.00S,09:36,Q1 09:36,4,6,1610612744.0,Poole,J. Poole personal FOUL (1 PF),rebound,3pt made,2,Low
22100414,32,3pt,1,PT09M25.00S,09:25,Q1 09:25,7,6,1610612752.0,Burks,A. Burks 25' 3PT  (3 PTS) (D. Rose 1 AST),foul,3pt missed,1,Low
22100414,34,3pt,1,PT09M02.00S,09:02,Q1 09:02,7,6,1610612744.0,Wiggins,MISS A. Wiggins 3PT,3pt made,rebound,1,Low
22100414,35,rebound,1,PT09M00.00S,09:00,Q1 09:00,7,6,1610612752.0,Randle,J. Randle REBOUND (Off:0 Def:1),3pt missed,3pt made,1,Low
22100414,36,3pt,1,PT08M54.00S,08:54,Q1 08:54,10,6,1610612752.0,Rose,D. Rose 25' 3PT  (5 PTS) (J. Randle 2 AST),rebound,foul,4,Low
22100414,38,foul,1,PT08M41.00S,08:41,Q1 08:41,10,6,1610612752.0,Randle,J. Randle shooting personal FOUL (1 PF) (Green 2 FT),3pt made,freethrow,4,Low
22100414,40,freethrow,1,PT08M41.00S,08:41,Q1 08:41,10,6,1610612744.0,Green,MISS D. Green Free Throw 1 of 2,foul,rebound,4,Low
22100414,41,rebound,1,PT08M41.00S,08:41,Q1 08:41,10,6,1610612744.0,,TEAM offensive REBOUND,freethrow,freethrow,4,Low
22100414,42,freethrow,1,PT08M41.00S,08:41,Q1 08:41,10,7,1610612744.0,Green,D. Green Free Throw 2 of 2 (1 PTS),rebound,turnover,3,Low
22100414,43,turnover,1,PT08M35.00S,08:35,Q1 08:35,10,7,1610612752.0,Rose,D. Rose lost ball out-of-bounds TURNOVER (1 TO),freethrow,2pt made,3,Low
22100414,45,2pt,1,PT08M18.00S,08:18,Q1 08:18,10,9,1610612744.0,Wiggins,A. Wiggins Layup (5 PTS) (D. Green 1 AST),turnover,turnover,1,Low
22100414,47,turnover,1,PT07M59.00S,07:59,Q1 07:59,10,9,1610612752.0,Randle,J. Randle lost ball TURNOVER (1 TO),2pt made,steal,1,Low
22100414,48,steal,1,PT07M59.00S,07:59,Q1 07:59,10,9,1610612744.0,Curry,S. Curry STEAL (1 STL),turnover,turnover,1,Low
22100414,49,turnover,1,PT07M59.00S,07:59,Q1 07:59,10,9,1610612744.0,Poole,J. Poole backcourt TURNOVER (1 TO),steal,3pt missed,1,Low
22100414,50,3pt,1,PT07M48.00S,07:48,Q1 07:48,10,9,1610612752.0,Fournier,MISS E. Fournier 26' 3PT,turnover,rebound,1,Low
22100414,51,rebound,1,PT07M46.00S,07:46,Q1 07:46,10,9,1610612744.0,,TEAM defensive REBOUND,3pt missed,3pt made,1,Low
22100414,53,3pt,1,PT07M33.00S,07:33,Q1 07:33,10,12,1610612744.0,Curry,S. Curry 27' 3PT  (6 PTS) (A. Wiggins 1 AST),rebound,foul,2,Low
22100414,55,foul,1,PT07M28.00S,07:28,Q1 07:28,10,12,1610612744.0,Looney,K. Looney take personal FOUL (1 PF),3pt made,timeout,2,Low
22100414,57,timeout,1,PT07M28.00S,07:28,Q1 07:28,10,12,1610612744.0,,GSW Timeout,foul,2pt missed,2,Low
22100414,60,2pt,1,PT07M21.00S,07:21,Q1 07:21,10,12,1610612752.0,Noel,MISS N. Noel 10' pullup Shot - blocked,timeout,block,2,Low
22100414,61,block,1,PT07M21.00S,07:21,Q1 07:21,10,12,1610612744.0,Green,D. Green BLOCK (1 BLK),2pt missed,rebound,2,Low
22100414,62,rebound,1,PT07M19.00S,07:19,Q1 07:19,10,12,1610612744.0,Curry,S. Curry REBOUND (Off:0 Def:1),block,2pt missed,2,Low
22100414,63,2pt,1,PT07M04.00S,07:04,Q1 07:04,10,12,1610612744.0,Wiggins,MISS A. Wiggins 18' step back Shot,rebound,rebound,2,Low
22100414,64,rebound,1,PT07M02.00S,07:02,Q1 07:02,10,12,1610612752.0,Rose,D. Rose REBOUND (Off:0 Def:1),2pt missed,2pt made,2,Low
22100414,65,2pt,1,PT06M51.00S,06:51,Q1 06:51,12,12,1610612752.0,Fournier,E. Fournier cutting finger roll Layup (2 PTS) (D. Rose 2 AST),rebound,2pt missed,0,Low
22100414,67,2pt,1,PT06M40.00S,06:40,Q1 06:40,12,12,1610612744.0,Looney,MISS K. Looney finger roll Layup - blocked,2pt made,block,0,Low
22100414,68,block,1,PT06M40.00S,06:40,Q1 06:40,12,12,1610612752.0,Noel,N. Noel BLOCK (1 BLK),2pt missed,rebound,0,Low
22100414,69,rebound,1,PT06M38.00S,06:38,Q1 06:38,12,12,1610612744.0,,TEAM offensive REBOUND,block,foul,0,Low
22100414,71,foul,1,PT06M35.00S,06:35,Q1 06:35,12,12,1610612744.0,Curry,S. Curry offensive FOUL (1 PF),rebound,turnover,0,Low
22100414,73,turnover,1,PT06M35.00S,06:35,Q1 06:35,12,12,1610612744.0,Curry,S. Curry offensive foul TURNOVER (1 TO),foul,3pt missed,0,Low
22100414,74,3pt,1,PT06M19.00S,06:19,Q1 06:19,12,12,1610612752.0,Burks,MISS A. Burks 26' 3PT,turnover,rebound,0,Low
22100414,75,rebound,1,PT06M17.00S,06:17,Q1 06:17,12,12,1610612752.0,Noel,N. Noel REBOUND (Off:1 Def:3),3pt missed,3pt missed,0,Low
22100414,76,3pt,1,PT06M14.00S,06:14,Q1 06:14,12,12,1610612752.0,Fournier,MISS E. Fournier 25' pullup 3PT,rebound,rebound,0,Low
22100414,77,rebound,1,PT06M12.00S,06:12,Q1 06:12,12,12,1610612744.0,Green,D. Green REBOUND (Off:0 Def:3),3pt missed,turnover,0,Low
22100414,78,turnover,1,PT06M05.00S,06:05,Q1 06:05,12,12,1610612744.0,Green,D. Green bad pass TURNOVER (1 TO),rebound,steal,0,Low
22100414,79,steal,1,PT06M05.00S,06:05,Q1 06:05,12,12,1610612752.0,Randle,J. Randle STEAL (1 STL),turnover,3pt missed,0,Low
22100414,80,3pt,1,PT06M01.00S,06:01,Q1 06:01,12,12,1610612752.0,Burks,MISS A. Burks 25' running 3PT,steal,rebound,0,Low
22100414,81,rebound,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612752.0,,TEAM offensive REBOUND,3pt missed,foul,0,Low
22100414,82,foul,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612744.0,Poole,J. Poole loose ball personal FOUL (2 PF),rebound,substitution,0,Low
22100414,85,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612744.0,Curry,SUB out: S. Curry,foul,substitution,0,Low
22100414,86,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612744.0,Payton II,SUB in: G. Payton II,substitution,substitution,0,Low
22100414,87,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612744.0,Kuminga,SUB in: J. Kuminga,substitution,substitution,0,Low
22100414,88,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612752.0,Burks,SUB out: A. Burks,substitution,substitution,0,Low
22100414,89,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612752.0,Quickley,SUB in: I. Quickley,substitution,substitution,0,Low
22100414,100,substitution,1,PT06M00.00S,06:00,Q1 06:00,12,12,1610612744.0,Looney,SUB out: K. Looney,substitution,2pt missed,0,Low
22100414,90,2pt,1,PT05M52.00S,05:52,Q1 05:52,12,12,1610612752.0,Randle,MISS J. Randle 8' turnaround fadeaway Shot,substitution,rebound,0,Low
