game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
21900251,2,period,1,PT12M00.00S,12:00,Q1 12:00,0,0,1610612742.0,,Start of 1st Period (8:42 PM EST),,2pt missed,0,Low
21900251,5,2pt,1,PT11M40.00S,11:40,Q1 11:40,0,0,1610612746.0,Leonard,MISS Leonard 8' Fadeaway Jumper,period,rebound,0,Low
21900251,6,rebound,1,PT11M38.00S,11:38,Q1 11:38,0,0,1610612742.0,Finney-Smith,Finney-Smith REBOUND (Off:0 Def:1),2pt missed,3pt made,0,Low
21900251,7,3pt,1,PT11M32.00S,11:32,Q1 11:32,3,0,1610612742.0,Porzingis,Porzingis 28' 3PT Pullup Jump Shot (3 PTS) (Hardaway Jr. 1 AST),rebound,2pt missed,3,Low
21900251,9,2pt,1,PT11M21.00S,11:21,Q1 11:21,3,0,1610612746.0,George,MISS George 17' Step Back Jump Shot,3pt made,rebound,3,Low
21900251,10,rebound,1,PT11M17.00S,11:17,Q1 11:17,3,0,1610612742.0,Porzingis,Porzingis REBOUND (Off:0 Def:1),2pt missed,3pt missed,3,Low
21900251,11,3pt,1,PT11M00.00S,11:00,Q1 11:00,3,0,1610612742.0,Finney-Smith,MISS Finney-Smith 3PT Jump Shot,rebound,rebound,3,Low
21900251,12,rebound,1,PT10M57.00S,10:57,Q1 10:57,3,0,1610612746.0,Harkless,Harkless REBOUND (Off:0 Def:1),3pt missed,2pt missed,3,Low
21900251,13,2pt,1,PT10M48.00S,10:48,Q1 10:48,3,0,1610612746.0,Leonard,MISS Leonard 1' Driving Layup,rebound,rebound,3,Low
21900251,14,rebound,1,PT10M46.00S,10:46,Q1 10:46,3,0,1610612746.0,Leonard,Leonard REBOUND (Off:1 Def:0),2pt missed,2pt missed,3,Low
21900251,15,2pt,1,PT10M45.00S,10:45,Q1 10:45,3,0,1610612746.0,Leonard,MISS Leonard 1' Putback Layup,rebound,rebound,3,Low
21900251,16,rebound,1,PT10M43.00S,10:43,Q1 10:43,3,0,1610612742.0,Porzingis,Porzingis REBOUND (Off:0 Def:2),2pt missed,3pt missed,3,Low
21900251,17,3pt,1,PT10M39.00S,10:39,Q1 10:39,3,0,1610612742.0,Doncic,MISS Doncic 29' 3PT Pullup Jump Shot,rebound,rebound,3,Low
21900251,18,rebound,1,PT10M36.00S,10:36,Q1 10:36,3,0,1610612746.0,Harkless,Harkless REBOUND (Off:0 Def:2),3pt missed,3pt made,3,Low
21900251,19,3pt,1,PT10M29.00S,10:29,Q1 10:29,3,3,1610612746.0,George,George 3PT Jump Shot (3 PTS) (Leonard 1 AST),rebound,2pt missed,0,Low
21900251,21,2pt,1,PT10M13.00S,10:13,Q1 10:13,3,3,1610612742.0,Doncic,MISS Doncic 5' Driving Floating Jump Shot,3pt made,rebound,0,Low
21900251,22,rebound,1,PT10M12.00S,10:12,Q1 10:12,3,3,1610612746.0,Leonard,Leonard REBOUND (Off:1 Def:1),2pt missed,2pt made,0,Low
21900251,23,2pt,1,PT10M07.00S,10:07,Q1 10:07,3,5,1610612746.0,Zubac,Zubac 1' Driving Hook Shot (2 PTS) (Leonard 2 AST),rebound,turnover,2,Low
21900251,25,turnover,1,PT09M49.00S,09:49,Q1 09:49,3,5,1610612742.0,Porzingis,Porzingis Bad Pass Turnover (P1.T1),2pt made,steal,2,Low
21900251,25,steal,1,PT09M49.00S,09:49,Q1 09:49,3,5,1610612746.0,Harkless,Harkless STEAL (1 STL),turnover,3pt missed,2,Low
21900251,27,3pt,1,PT09M45.00S,09:45,Q1 09:45,3,5,1610612746.0,Beverley,MISS Beverley 3PT Jump Shot,steal,rebound,2,Low
21900251,28,rebound,1,PT09M42.00S,09:42,Q1 09:42,3,5,1610612742.0,Doncic,Doncic REBOUND (Off:0 Def:1),3pt missed,2pt made,2,Low
21900251,29,2pt,1,PT09M21.00S,09:21,Q1 09:21,5,5,1610612742.0,Powell,Powell 1' Cutting Dunk Shot (2 PTS) (Doncic 1 AST),rebound,3pt made,0,Low
21900251,31,3pt,1,PT09M00.00S,09:00,Q1 09:00,5,8,1610612746.0,Beverley,Beverley 25' 3PT Jump Shot (3 PTS) (George 1 AST),2pt made,2pt missed,3,Low
21900251,33,2pt,1,PT08M48.00S,08:48,Q1 08:48,5,8,1610612742.0,Doncic,MISS Doncic 1' Driving Layup,3pt made,rebound,3,Low
21900251,34,rebound,1,PT08M46.00S,08:46,Q1 08:46,5,8,1610612746.0,Beverley,Beverley REBOUND (Off:0 Def:1),2pt missed,2pt made,3,Low
21900251,35,2pt,1,PT08M41.00S,08:41,Q1 08:41,5,10,1610612746.0,Leonard,Leonard Running Layup (2 PTS) (Beverley 1 AST),rebound,timeout,5,Low
21900251,37,timeout,1,PT08M41.00S,08:41,Q1 08:41,5,10,1610612742.0,,MAVERICKS Timeout: Regular (Full 1 Short 0),2pt made,foul,5,Low
21900251,38,foul,1,PT08M25.00S,08:25,Q1 08:25,5,10,1610612746.0,Zubac,Zubac S.FOUL (P1.T1) (B.Forte),timeout,freethrow,5,Low
21900251,40,freethrow,1,PT08M25.00S,08:25,Q1 08:25,6,10,1610612742.0,Doncic,Doncic Free Throw 1 of 2 (1 PTS),foul,freethrow,4,Low
21900251,41,freethrow,1,PT08M25.00S,08:25,Q1 08:25,7,10,1610612742.0,Doncic,Doncic Free Throw 2 of 2 (2 PTS),freethrow,3pt missed,3,Low
21900251,42,3pt,1,PT08M02.00S,08:02,Q1 08:02,7,10,1610612746.0,George,MISS George 25' 3PT Pullup Jump Shot,freethrow,rebound,3,Low
