game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
21900108,2,period,1,PT12M00.00S,12:00,Q1 12:00,0,0,1610612763.0,,Start of 1st Period (8:11 PM EST),,3pt missed,0,Low
21900108,7,3pt,1,PT11M45.00S,11:45,Q1 11:45,0,0,1610612750.0,Towns,MISS Towns 27' 3PT Jump Shot,period,rebound,0,Low
21900108,8,rebound,1,PT11M41.00S,11:41,Q1 11:41,0,0,1610612763.0,Valanciunas,Valanciunas REBOUND (Off:0 Def:1),3pt missed,2pt missed,0,Low
21900108,9,2pt,1,PT11M25.00S,11:25,Q1 11:25,0,0,1610612763.0,Jackson Jr.,MISS Jackson Jr. 6' Cutting Layup Shot,rebound,rebound,0,Low
21900108,10,rebound,1,PT11M21.00S,11:21,Q1 11:21,0,0,1610612750.0,Towns,Towns REBOUND (Off:0 Def:1),2pt missed,3pt made,0,Low
21900108,11,3pt,1,PT11M11.00S,11:11,Q1 11:11,0,3,1610612750.0,Towns,Towns 25' 3PT Jump Shot (3 PTS) (Culver 1 AST),rebound,2pt missed,3,Low
21900108,13,2pt,1,PT11M00.00S,11:00,Q1 11:00,0,3,1610612763.0,Morant,MISS Morant 9' Driving Floating Jump Shot,3pt made,block,3,Low
21900108,13,block,1,PT11M00.00S,11:00,Q1 11:00,0,3,1610612750.0,Towns,Towns BLOCK (1 BLK),2pt missed,rebound,3,Low
21900108,15,rebound,1,PT10M59.00S,10:59,Q1 10:59,0,3,1610612763.0,Morant,Morant REBOUND (Off:1 Def:0),block,3pt made,3,Low
21900108,16,3pt,1,PT10M53.00S,10:53,Q1 10:53,3,3,1610612763.0,Brooks,Brooks 24' 3PT Pullup Jump Shot (3 PTS) (Morant 1 AST),rebound,2pt made,0,Low
21900108,18,2pt,1,PT10M42.00S,10:42,Q1 10:42,3,5,1610612750.0,Okogie,Okogie 2' Driving Layup (2 PTS) (Culver 2 AST),3pt made,3pt missed,2,Low
21900108,20,3pt,1,PT10M31.00S,10:31,Q1 10:31,3,5,1610612763.0,Jackson Jr.,MISS Jackson Jr. 3PT Jump Shot,2pt made,rebound,2,Low
21900108,21,rebound,1,PT10M28.00S,10:28,Q1 10:28,3,5,1610612750.0,Towns,Towns REBOUND (Off:0 Def:2),3pt missed,foul,2,Low
21900108,22,foul,1,PT10M22.00S,10:22,Q1 10:22,3,5,1610612763.0,Valanciunas,Valanciunas P.FOUL (P1.T1) (R.Acosta),rebound,2pt made,2,Low
21900108,24,2pt,1,PT10M17.00S,10:17,Q1 10:17,3,7,1610612750.0,Wiggins,Wiggins 14' Pullup Jump Shot (2 PTS),foul,2pt made,4,Low
21900108,26,2pt,1,PT09M55.00S,09:55,Q1 09:55,5,7,1610612763.0,Morant,Morant 1' Driving Reverse Layup (2 PTS),2pt made,2pt made,2,Low
21900108,27,2pt,1,PT09M46.00S,09:46,Q1 09:46,5,9,1610612750.0,Culver,Culver 2' Driving Layup (2 PTS),2pt made,2pt missed,4,Low
21900108,28,2pt,1,PT09M30.00S,09:30,Q1 09:30,5,9,1610612763.0,Morant,MISS Morant 16' Pullup Jump Shot,2pt made,rebound,4,Low
21900108,29,rebound,1,PT09M27.00S,09:27,Q1 09:27,5,9,1610612750.0,Okogie,Okogie REBOUND (Off:0 Def:1),2pt missed,3pt missed,4,Low
21900108,30,3pt,1,PT09M24.00S,09:24,Q1 09:24,5,9,1610612750.0,Culver,MISS Culver 25' 3PT Running Jump Shot,rebound,rebound,4,Low
21900108,31,rebound,1,PT09M22.00S,09:22,Q1 09:22,5,9,1610612750.0,Culver,Culver REBOUND (Off:1 Def:0),3pt missed,2pt missed,4,Low
21900108,32,2pt,1,PT09M19.00S,09:19,Q1 09:19,5,9,1610612750.0,Culver,MISS Culver 3' Layup,rebound,rebound,4,Low
21900108,34,rebound,1,PT09M16.00S,09:16,Q1 09:16,5,9,1610612763.0,Brooks,Brooks REBOUND (Off:0 Def:1),2pt missed,3pt made,4,Low
21900108,35,3pt,1,PT09M12.00S,09:12,Q1 09:12,8,9,1610612763.0,Brooks,Brooks 25' 3PT Jump Shot (6 PTS) (Jackson Jr. 1 AST),rebound,2pt made,1,Low
21900108,37,2pt,1,PT09M03.00S,09:03,Q1 09:03,8,11,1610612750.0,Wiggins,Wiggins 3' Driving Layup (4 PTS),3pt made,foul,3,Low
21900108,38,foul,1,PT09M03.00S,09:03,Q1 09:03,8,11,1610612763.0,Brooks,Brooks S.FOUL (P1.T2) (P.Ransom),2pt made,timeout,3,Low
21900108,40,timeout,1,PT09M03.00S,09:03,Q1 09:03,8,11,1610612763.0,,GRIZZLIES Timeout: Regular (Full 1 Short 0),foul,freethrow,3,Low
21900108,41,freethrow,1,PT09M03.00S,09:03,Q1 09:03,8,12,1610612750.0,Wiggins,Wiggins Free Throw 1 of 1 (5 PTS),timeout,2pt made,4,Low
21900108,42,2pt,1,PT08M48.00S,08:48,Q1 08:48,10,12,1610612763.0,Valanciunas,Valanciunas 5' Turnaround Hook Shot (2 PTS) (Jackson Jr. 2 AST),freethrow,3pt missed,2,Low
21900108,44,3pt,1,PT08M35.00S,08:35,Q1 08:35,10,12,1610612750.0,Covington,MISS Covington 25' 3PT Jump Shot,2pt made,rebound,2,Low
21900108,45,rebound,1,PT08M32.00S,08:32,Q1 08:32,10,12,1610612763.0,Valanciunas,Valanciunas REBOUND (Off:0 Def:2),3pt missed,2pt missed,2,Low
21900108,46,2pt,1,PT08M14.00S,08:14,Q1 08:14,10,12,1610612763.0,Valanciunas,MISS Valanciunas 7' Turnaround Hook Shot,rebound,rebound,2,Low
21900108,47,rebound,1,PT08M09.00S,08:09,Q1 08:09,10,12,1610612750.0,Okogie,Okogie REBOUND (Off:0 Def:2),2pt missed,foul,2,Low
21900108,48,foul,1,PT08M07.00S,08:07,Q1 08:07,10,12,1610612763.0,Jackson Jr.,Jackson Jr. P.FOUL (P1.T3) (E.Lewis),rebound,3pt made,2,Low
21900108,50,3pt,1,PT07M58.00S,07:58,Q1 07:58,10,15,1610612750.0,Wiggins,Wiggins 27' 3PT Jump Shot (8 PTS) (Culver 3 AST),foul,foul,5,Low
21900108,52,foul,1,PT07M40.00S,07:40,Q1 07:40,10,15,1610612763.0,Jackson Jr.,Jackson Jr. OFF.Foul (P2) (R.Acosta),3pt made,turnover,5,Low
21900108,54,turnover,1,PT07M40.00S,07:40,Q1 07:40,10,15,1610612763.0,Jackson Jr.,Jackson Jr. Offensive Foul Turnover (P1.T1),foul,substitution,5,Low
21900108,55,substitution,1,PT07M40.00S,07:40,Q1 07:40,10,15,1610612763.0,Jackson Jr.,SUB out: J. Jackson Jr.,turnover,substitution,5,Low
21900108,56,substitution,1,PT07M40.00S,07:40,Q1 07:40,10,15,1610612763.0,Clarke,SUB in: B. Clarke,substitution,turnover,5,Low
21900108,57,turnover,1,PT07M26.00S,07:26,Q1 07:26,10,15,1610612750.0,Wiggins,Wiggins Lost Ball Turnover (P1.T1),substitution,steal,5,Low
21900108,57,steal,1,PT07M26.00S,07:26,Q1 07:26,10,15,1610612763.0,Crowder,Crowder STEAL (1 STL),turnover,2pt made,5,Low
21900108,59,2pt,1,PT07M15.00S,07:15,Q1 07:15,12,15,1610612763.0,Valanciunas,Valanciunas 5' Cutting Finger Roll Layup Shot (4 PTS) (Crowder 1 AST),steal,2pt missed,3,Low
21900108,61,2pt,1,PT07M06.00S,07:06,Q1 07:06,12,15,1610612750.0,Towns,MISS Towns 5' Driving Layup,2pt made,rebound,3,Low
21900108,62,rebound,1,PT07M02.00S,07:02,Q1 07:02,12,15,1610612763.0,Brooks,Brooks REBOUND (Off:0 Def:2),2pt missed,3pt missed,3,Low
21900108,63,3pt,1,PT06M57.00S,06:57,Q1 06:57,12,15,1610612763.0,Brooks,MISS Brooks 25' 3PT Jump Shot,rebound,rebound,3,Low
21900108,64,rebound,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612763.0,Valanciunas,Valanciunas REBOUND (Off:1 Def:2),3pt missed,foul,3,Low
21900108,65,foul,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612750.0,Covington,Covington P.FOUL (P1.T1) (E.Lewis),rebound,substitution,3,Low
21900108,67,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612763.0,Morant,SUB out: J. Morant,foul,substitution,3,Low
21900108,68,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612750.0,Culver,SUB out: J. Culver,substitution,substitution,3,Low
21900108,69,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612750.0,Covington,SUB out: R. Covington,substitution,substitution,3,Low
21900108,70,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612763.0,Jones,SUB in: T. Jones,substitution,substitution,3,Low
21900108,71,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612750.0,Layman,SUB in: J. Layman,substitution,substitution,3,Low
21900108,72,substitution,1,PT06M54.00S,06:54,Q1 06:54,12,15,1610612750.0,Graham,SUB in: T. Graham,substitution,3pt made,3,Low
