game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22300028,7,2pt,1,PT11M45.00S,11:45,Q1 11:45,0,0,1610612752.0,Brunson,MISS J. Brunson driving Layup,,rebound,0,Medium
22300028,8,rebound,1,PT11M45.00S,11:45,Q1 11:45,0,0,1610612752.0,Robinson,M. Robinson REBOUND (Off:1 Def:0),2pt missed,2pt made,0,Medium
22300028,9,2pt,1,PT11M45.00S,11:45,Q1 11:45,0,2,1610612752.0,Robinson,M. Robinson putback DUNK (2 PTS),rebound,foul,2,Medium
22300028,10,foul,1,PT11M45.00S,11:45,Q1 11:45,0,2,1610612764.0,Gafford,D. Gafford shooting personal FOUL (1 PF) (Robinson 1 FT),2pt made,freethrow,2,Medium
22300028,12,freethrow,1,PT11M45.00S,11:45,Q1 11:45,0,2,1610612752.0,Robinson,MISS M. Robinson Free Throw 1 of 1,foul,rebound,2,Medium
22300028,13,rebound,1,PT11M41.00S,11:41,Q1 11:41,0,2,1610612764.0,Kuzma,K. Kuzma REBOUND (Off:0 Def:1),freethrow,3pt missed,2,Medium
22300028,14,3pt,1,PT11M29.00S,11:29,Q1 11:29,0,2,1610612764.0,Kuzma,MISS K. Kuzma 26' step back 3PT,rebound,rebound,2,Medium
22300028,15,rebound,1,PT11M26.00S,11:26,Q1 11:26,0,2,1610612752.0,DiVincenzo,D. DiVincenzo REBOUND (Off:0 Def:1),3pt missed,3pt missed,2,Medium
22300028,16,3pt,1,PT11M16.00S,11:16,Q1 11:16,0,2,1610612752.0,DiVincenzo,MISS D. DiVincenzo 26' 3PT,rebound,rebound,2,Medium
22300028,17,rebound,1,PT11M13.00S,11:13,Q1 11:13,0,2,1610612752.0,Robinson,M. Robinson REBOUND (Off:2 Def:0),3pt missed,turnover,2,Medium
22300028,18,turnover,1,PT11M05.00S,11:05,Q1 11:05,0,2,1610612752.0,Randle,J. Randle lost ball out-of-bounds TURNOVER (1 TO),rebound,3pt missed,2,Medium
22300028,19,3pt,1,PT10M56.00S,10:56,Q1 10:56,0,2,1610612764.0,Avdija,MISS D. Avdija 25' pullup 3PT,turnover,rebound,2,Medium
22300028,20,rebound,1,PT10M53.00S,10:53,Q1 10:53,0,2,1610612752.0,DiVincenzo,D. DiVincenzo REBOUND (Off:0 Def:2),3pt missed,3pt made,2,Medium
