game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22200042,7,2pt,1,PT11M47.00S,11:47,Q1 11:47,2,0,1610612744.0,Wiggins,A. Wiggins 16' pullup Jump Shot (2 PTS),,3pt missed,2,Medium
22200042,8,3pt,1,PT11M23.00S,11:23,Q1 11:23,2,0,1610612758.0,Okpala,MISS K. Okpala 26' 3PT,2pt made,rebound,2,Medium
22200042,9,rebound,1,PT11M20.00S,11:20,Q1 11:20,2,0,1610612744.0,Curry,S. Curry REBOUND (Off:0 Def:1),3pt missed,2pt made,2,Medium
22200042,10,2pt,1,PT11M16.00S,11:16,Q1 11:16,4,0,1610612744.0,Wiggins,A. Wiggins running Layup (4 PTS) (D. Green 1 AST),rebound,3pt missed,4,Medium
22200042,12,3pt,1,PT10M56.00S,10:56,Q1 10:56,4,0,1610612758.0,Fox,MISS D. Fox 25' pullup 3PT,2pt made,rebound,4,Medium
22200042,13,rebound,1,PT10M54.00S,10:54,Q1 10:54,4,0,1610612744.0,Green,D. Green REBOUND (Off:0 Def:1),3pt missed,3pt made,4,Medium
22200042,14,3pt,1,PT10M48.00S,10:48,Q1 10:48,7,0,1610612744.0,Thompson,K. Thompson 25' 3PT  (3 PTS) (D. Green 2 AST),rebound,foul,7,Medium
22200042,16,foul,1,PT10M39.00S,10:39,Q1 10:39,7,0,1610612744.0,Green,D. Green personal FOUL (1 PF),3pt made,3pt missed,7,Medium
22200042,18,3pt,1,PT10M29.00S,10:29,Q1 10:29,7,0,1610612758.0,Huerter,MISS K. Huerter 25' step back 3PT,foul,rebound,7,Medium
22200042,19,rebound,1,PT10M25.00S,10:25,Q1 10:25,7,0,1610612758.0,Okpala,K. Okpala REBOUND (Off:1 Def:0),3pt missed,3pt missed,7,Medium
22200042,20,3pt,1,PT10M23.00S,10:23,Q1 10:23,7,0,1610612758.0,Huerter,MISS K. Huerter 26' 3PT,rebound,rebound,7,Medium
22200042,21,rebound,1,PT10M21.00S,10:21,Q1 10:21,7,0,1610612744.0,Curry,S. Curry REBOUND (Off:0 Def:2),3pt missed,2pt missed,7,Medium
