game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22200012,7,turnover,1,PT11M48.00S,11:48,Q1 11:48,0,0,1610612762.0,Conley,M. Conley bad pass TURNOVER (1 TO),,steal,0,Medium
22200012,8,steal,1,PT11M48.00S,11:48,Q1 11:48,0,0,1610612743.0,Gordon,A. Gordon STEAL (1 STL),turnover,2pt made,0,Medium
22200012,9,2pt,1,PT11M43.00S,11:43,Q1 11:43,0,2,1610612743.0,Gordon,A. Gordon running reverse DUNK (2 PTS),steal,3pt missed,2,Medium
22200012,10,3pt,1,PT11M29.00S,11:29,Q1 11:29,0,2,1610612762.0,Clarkson,MISS J. Clarkson 27' 3PT,2pt made,rebound,2,Medium
22200012,11,rebound,1,PT11M28.00S,11:28,Q1 11:28,0,2,1610612743.0,,TEAM defensive REBOUND,3pt missed,foul,2,Medium
22200012,14,foul,1,PT11M05.00S,11:05,Q1 11:05,0,2,1610612762.0,Olynyk,K. Olynyk shooting personal FOUL (1 PF) (Porter Jr. 2 FT),rebound,freethrow,2,Medium
22200012,16,freethrow,1,PT11M05.00S,11:05,Q1 11:05,0,3,1610612743.0,Porter Jr.,M. Porter Jr. Free Throw 1 of 2 (1 PTS),foul,freethrow,3,Medium
22200012,17,freethrow,1,PT11M05.00S,11:05,Q1 11:05,0,3,1610612743.0,Porter Jr.,MISS M. Porter Jr. Free Throw 2 of 2,freethrow,rebound,3,Medium
22200012,18,rebound,1,PT11M03.00S,11:03,Q1 11:03,0,3,1610612762.0,Vanderbilt,J. Vanderbilt REBOUND (Off:0 Def:1),freethrow,2pt made,3,Medium
22200012,19,2pt,1,PT10M45.00S,10:45,Q1 10:45,2,3,1610612762.0,Markkanen,L. Markkanen 19' Jump Shot (2 PTS) (M. Conley 1 AST),rebound,2pt made,1,Medium
22200012,21,2pt,1,PT10M26.00S,10:26,Q1 10:26,2,5,1610612743.0,Murray,J. Murray 17' step back Jump Shot (2 PTS),2pt made,2pt made,3,Medium
22200012,23,2pt,1,PT10M06.00S,10:06,Q1 10:06,4,5,1610612762.0,Markkanen,L. Markkanen turnaround Hook (4 PTS),2pt made,2pt made,1,Medium
22200012,24,2pt,1,PT09M57.00S,09:57,Q1 09:57,4,7,1610612743.0,Gordon,A. Gordon driving Layup (4 PTS),2pt made,turnover,3,Medium
22200012,25,turnover,1,PT09M47.00S,09:47,Q1 09:47,4,7,1610612762.0,Conley,M. Conley bad pass TURNOVER (2 TO),2pt made,steal,3,Medium
22200012,26,steal,1,PT09M47.00S,09:47,Q1 09:47,4,7,1610612743.0,Murray,J. Murray STEAL (1 STL),turnover,2pt made,3,Medium
22200012,27,2pt,1,PT09M43.00S,09:43,Q1 09:43,4,9,1610612743.0,Gordon,A. Gordon running alley-oop DUNK (6 PTS) (K. Caldwell-Pope 1 AST),steal,3pt made,5,Medium
22200012,29,3pt,1,PT09M37.00S,09:37,Q1 09:37,7,9,1610612762.0,Clarkson,J. Clarkson 3PT  (3 PTS) (L. Markkanen 1 AST),2pt made,2pt missed,2,Medium
22200012,31,2pt,1,PT09M23.00S,09:23,Q1 09:23,7,9,1610612743.0,Murray,MISS J. Murray 11' driving floating Shot,3pt made,rebound,2,Medium
22200012,32,rebound,1,PT09M21.00S,09:21,Q1 09:21,7,9,1610612762.0,Vanderbilt,J. Vanderbilt REBOUND (Off:0 Def:2),2pt missed,3pt missed,2,Medium
22200012,33,3pt,1,PT09M18.00S,09:18,Q1 09:18,7,9,1610612762.0,Clarkson,MISS J. Clarkson 27' running pullup 3PT,rebound,rebound,2,Medium
22200012,34,rebound,1,PT09M15.00S,09:15,Q1 09:15,7,9,1610612743.0,Murray,J. Murray REBOUND (Off:0 Def:1),3pt missed,foul,2,Medium
22200012,35,foul,1,PT09M04.00S,09:04,Q1 09:04,7,9,1610612762.0,Vanderbilt,J. Vanderbilt personal FOUL (1 PF),rebound,2pt missed,2,Medium
22200012,37,2pt,1,PT08M59.00S,08:59,Q1 08:59,7,9,1610612743.0,Caldwell-Pope,MISS K. Caldwell-Pope 15' pullup Shot,foul,rebound,2,Medium
22200012,38,rebound,1,PT08M56.00S,08:56,Q1 08:56,7,9,1610612762.0,Vanderbilt,J. Vanderbilt REBOUND (Off:0 Def:3),2pt missed,turnover,2,Medium
22200012,39,turnover,1,PT08M48.00S,08:48,Q1 08:48,7,9,1610612762.0,Olynyk,K. Olynyk bad pass TURNOVER (1 TO),rebound,steal,2,Medium
22200012,40,steal,1,PT08M48.00S,08:48,Q1 08:48,7,9,1610612743.0,Jokic,N. Jokic STEAL (1 STL),turnover,2pt made,2,Medium
22200012,41,2pt,1,PT08M43.00S,08:43,Q1 08:43,7,11,1610612743.0,Murray,J. Murray running Layup (4 PTS),steal,timeout,4,Medium
22200012,43,timeout,1,PT08M43.00S,08:43,Q1 08:43,7,11,1610612762.0,,UTA Timeout,2pt made,2pt missed,4,Medium
22200012,44,2pt,1,PT08M32.00S,08:32,Q1 08:32,7,11,1610612762.0,Markkanen,MISS L. Markkanen 9' fadeaway Shot,timeout,rebound,4,Medium
22200012,45,rebound,1,PT08M30.00S,08:30,Q1 08:30,7,11,1610612762.0,,TEAM offensive REBOUND,2pt missed,3pt made,4,Medium
22200012,47,3pt,1,PT08M28.00S,08:28,Q1 08:28,10,11,1610612762.0,Olynyk,K. Olynyk 24' 3PT  (3 PTS) (M. Conley 2 AST),rebound,3pt missed,1,Medium
22200012,49,3pt,1,PT08M16.00S,08:16,Q1 08:16,10,11,1610612743.0,Gordon,MISS A. Gordon 25' 3PT,3pt made,rebound,1,Medium
22200012,50,rebound,1,PT08M13.00S,08:13,Q1 08:13,10,11,1610612762.0,Clarkson,J. Clarkson REBOUND (Off:0 Def:1),3pt missed,3pt made,1,Medium
22200012,51,3pt,1,PT08M05.00S,08:05,Q1 08:05,13,11,1610612762.0,Conley,M. Conley 25' 3PT  (3 PTS) (K. Olynyk 1 AST),rebound,3pt missed,2,Medium
22200012,53,3pt,1,PT07M48.00S,07:48,Q1 07:48,13,11,1610612743.0,Porter Jr.,MISS M. Porter Jr. 24' 3PT,3pt made,rebound,2,Medium
22200012,54,rebound,1,PT07M46.00S,07:46,Q1 07:46,13,11,1610612762.0,Vanderbilt,J. Vanderbilt REBOUND (Off:0 Def:4),3pt missed,3pt missed,2,Medium
22200012,55,3pt,1,PT07M37.00S,07:37,Q1 07:37,13,11,1610612762.0,Markkanen,MISS L. Markkanen 3PT,rebound,rebound,2,Medium
22200012,56,rebound,1,PT07M32.00S,07:32,Q1 07:32,13,11,1610612743.0,Gordon,A. Gordon REBOUND (Off:0 Def:1),3pt missed,2pt made,2,Medium
22200012,57,2pt,1,PT07M30.00S,07:30,Q1 07:30,13,13,1610612743.0,Jokic,N. Jokic running DUNK (2 PTS) (K. Caldwell-Pope 2 AST),rebound,2pt made,0,Medium
22200012,59,2pt,1,PT07M13.00S,07:13,Q1 07:13,15,13,1610612762.0,Clarkson,J. Clarkson 10' driving floating bank Jump Shot (5 PTS),2pt made,foul,2,Medium
