game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22500235,7,2pt,1,PT11M43.00S,11:43,Q1 11:43,2,0,1610612764.0,George,K. George driving Layup (2 PTS),,2pt made,2,Low
22500235,8,2pt,1,PT11M24.00S,11:24,Q1 11:24,2,2,1610612751.0,Porter Jr.,M. Porter Jr. cutting Layup (2 PTS) (N. Claxton 1 AST),2pt made,2pt made,0,Low
22500235,10,2pt,1,PT11M15.00S,11:15,Q1 11:15,4,2,1610612764.0,Sarr,A. Sarr cutting DUNK (2 PTS) (K. George 1 AST),2pt made,3pt made,2,Low
22500235,12,3pt,1,PT10M59.00S,10:59,Q1 10:59,4,5,1610612751.0,Clowney,N. Clowney 27' 3PT  (3 PTS) (E. Dëmin 1 AST),2pt made,3pt missed,1,Low
22500235,14,3pt,1,PT10M38.00S,10:38,Q1 10:38,4,5,1610612764.0,Middleton,MISS K. Middleton 26' pullup 3PT,3pt made,rebound,1,Low
22500235,15,rebound,1,PT10M35.00S,10:35,Q1 10:35,4,5,1610612751.0,Porter Jr.,M. Porter Jr. REBOUND (Off:0 Def:1),3pt missed,2pt made,1,Low
22500235,16,2pt,1,PT10M24.00S,10:24,Q1 10:24,4,7,1610612751.0,Porter Jr.,M. Porter Jr. 17' turnaround Jump Shot (4 PTS) (E. Dëmin 2 AST),rebound,3pt missed,3,Low
22500235,17,3pt,1,PT10M10.00S,10:10,Q1 10:10,4,7,1610612764.0,Sarr,MISS A. Sarr 26' 3PT,2pt made,rebound,3,Low
22500235,18,rebound,1,PT10M06.00S,10:06,Q1 10:06,4,7,1610612751.0,Mann,T. Mann REBOUND (Off:0 Def:1),3pt missed,2pt missed,3,Low
22500235,20,2pt,1,PT09M50.00S,09:50,Q1 09:50,4,7,1610612751.0,Mann,MISS T. Mann driving Layup - blocked,rebound,block,3,Low
22500235,21,block,1,PT09M50.00S,09:50,Q1 09:50,4,7,1610612764.0,Coulibaly,B. Coulibaly BLOCK (1 BLK),2pt missed,rebound,3,Low
22500235,22,rebound,1,PT09M47.00S,09:47,Q1 09:47,4,7,1610612751.0,Mann,T. Mann REBOUND (Off:1 Def:1),block,turnover,3,Low
